p_1 p_2 p_3 p_4 p_5 p_6
1.250018850445919483e-01 1.734589747015915229e-01 3.392964359578783395e-01 1.993330368752593840e-01 4.403283526912574880e-02 1.188768321515529386e-01
6.961626655091217308e-02 3.936588654024587158e-02 1.872587748557765774e-01 1.505531709774165505e-01 3.061814526889833354e-01 2.470244483866654295e-01
1.704632726126167064e-01 3.080840968023403903e-01 2.422730308282663170e-01 1.902406182819051106e-01 2.386099631341465077e-02 6.507798516145681111e-02
2.573803775125012572e-01 1.447777534733961369e-02 2.614337357465749273e-02 6.149015457312975025e-02 4.567858215732119587e-01 1.837224974191598859e-01
4.013064861421101193e-01 1.861493827488488739e-01 8.844103677828833721e-02 2.914047889081319148e-02 2.469403883462069349e-01 4.802222709373244608e-02
2.709461837990601030e-01 9.128352214334305159e-02 2.676547467571112615e-01 4.914122014388375842e-03 2.190107457328413221e-01 1.461906795532561809e-01
1.004668499544747184e-01 1.496114847239862593e-02 2.912892162192398104e-01 2.357711254159136627e-01 2.151525821565301033e-01 1.423590777814429664e-01
2.386689245766101808e-01 9.971089227898771723e-02 1.372327423827786608e-01 3.844311530498584206e-01 7.536428249279496228e-02 6.459200521897012770e-02
2.780244451066080091e-01 3.542061849377746430e-02 2.557456832720391704e-01 2.351475327653271274e-02 4.015223216532295414e-01 5.772178197813017039e-03
8.383698767293021326e-02 5.274792750528636276e-01 5.069321836505111256e-02 2.170968818390638655e-01 8.505906419491160442e-02 3.583457287517949341e-02
1.471577511763834945e-01 1.712565913917155902e-01 1.029232528471155372e-01 2.156947926090337087e-01 2.280241631158653470e-01 1.349434488598862392e-01
7.158837095802096651e-02 1.188094740123672721e-02 2.111165500374094159e-02 8.053701951930343217e-01 7.849100819668271278e-02 1.155782324728442910e-02
2.046810709911569826e-01 2.633138932896048612e-01 4.315779722497334880e-01 5.917348675635686339e-02 3.617499998949063461e-02 5.078576723657140732e-03
2.225552859738261502e-01 8.806049871162835441e-02 2.854399792440225903e-01 1.912096028203134901e-02 3.769118392720203214e-01 7.911436516471250305e-03
1.399569170026238873e-01 1.244824509039927779e-01 1.874190464637820186e-01 3.744143310773671018e-01 7.380709629910256475e-02 9.992015825313153854e-02
4.182040162947131545e-01 4.217921192195471514e-02 2.198739582107729351e-01 6.686219656366330921e-02 5.614929569055335246e-02 1.967313213183425336e-01
7.661959995047253058e-02 6.615097601637159874e-02 3.255569960834049370e-01 4.634004287189000260e-01 9.525631771651631163e-03 5.874636745919921410e-02
3.979303083743242209e-02 2.258369783508933082e-02 1.869758779619682190e-02 4.273896676848530918e-01 9.574657832682265113e-02 3.957894375196056580e-01
2.455262488031322021e-01 2.216230583291570189e-01 7.958360184387627823e-02 2.537646342982513570e-01 8.662592558949755439e-02 1.128765311360856033e-01
4.513411974724652886e-02 6.268683930051652253e-02 1.618979540025780040e-01 2.031319835800668716e-01 9.788618588081367256e-02 4.292629174887784838e-01
2.506565768114670800e-01 1.025079994275533563e-01 5.276496169698280392e-01 1.874919892196722296e-02 9.686274736291725085e-02 3.573860506267073286e-03
2.109738240836850076e-01 5.760675570125581846e-01 7.436468701794948788e-02 4.028715859750397338e-02 3.882169077482042208e-02 5.948508251348300774e-02
2.523633427490924383e-02 8.148819620390429508e-02 5.115906085361964228e-01 9.343240129037480579e-02 2.384049380412387731e-01 4.984752165337652530e-02
1.369194859225118521e-01 1.671770731715972735e-02 5.001473699592412503e-01 5.712398733390882527e-02 7.252751144274567976e-03 2.818386983229037024e-01
1.048714147719836433e-02 5.529602635749703010e-02 2.934550844747154108e-01 7.067228980844543484e-02 5.047583382987109735e-01 6.533111958343275349e-02
3.983436488242420026e-02 3.013509720328017005e-01 1.088369154370752434e-01 2.349118249936892056e-01 1.858646121657461237e-01 1.292013104882634156e-01
6.382331470283989505e-01 2.555530292121658870e-04 1.203149728080368658e-01 1.873968008208471703e-01 2.820812056713440860e-02 2.559140574637047347e-02
5.616388626731380618e-02 3.345225410907968350e-02 2.834730412632538998e-01 9.929228930204424264e-02 4.389589487113753491e-02 4.837226341871709301e-01
6.206299580419526868e-02 1.911853036156194452e-01 7.936589304628303976e-02 1.867260746270780203e-01 1.533153423300030183e-01 3.273443905768212425e-01
1.059843009040909029e-01 2.069236409954823552e-01 9.600843854549802325e-02 1.690209919325427468e-01 3.575817257059604737e-01 6.448090191642549818e-02
2.409439864595559477e-01 4.315212834415447368e-02 4.325726236869669589e-02 2.594752197827681489e-02 6.256224049885588112e-01 2.107669586075731211e-02
1.250765390745534611e-01 4.189517069941525729e-01 1.390752282768295267e-01 1.354029769029786445e-01 1.376796194682119723e-01 4.381392928327360048e-02
3.165464472398006324e-01 2.733394629073734525e-02 2.254659751521224942e-01 3.804643361548935669e-03 2.451575928440719310e-01 1.816913951117185844e-01
2.056047008168456758e-01 1.395673627146171436e-01 6.727943721107049191e-02 2.888894226016084157e-02 4.807302766244851422e-01 7.792928037282083331e-02
1.740041287600581077e-01 1.344504576020476849e-01 1.157726428824074616e-01 7.917789227433157107e-02 5.644653234000061859e-02 4.401483461411545561e-01
2.549161783723425528e-02 2.043336240362852718e-01 3.957827359775380888e-02 5.017706857529321551e-01 1.591397923235242373e-01 6.968600645227049362e-02
1.160464023988790616e-01 2.915341394897100202e-01 2.739398880972343173e-02 3.360757982128284582e-01 4.767208781623758634e-02 1.812775832726215841e-01
5.241859463854512541e-02 1.454128597811917278e-01 1.078322737783225238e-01 3.711374445847525488e-02 5.297523881234439402e-01 1.274701392200215389e-01
3.201593035922674635e-01 7.346983626890746244e-02 5.693679701792742770e-02 1.414926479765210576e-01 1.509054957819000176e-01 2.570359193624767169e-01
1.691628299641583302e-02 5.522442008552265191e-01 1.224836968416198463e-01 1.541950174933741924e-01 1.125604466948565974e-01 4.160035511850694590e-02
5.163545702167805507e-01 3.468670123068727518e-02 1.184104916256789597e-01 2.775720261734193062e-01 7.089882074026262375e-04 5.226722254603119455e-02
1.567668605912934110e-01 3.198888673462962906e-03 2.040332688084378621e-01 3.030285647222776269e-01 1.787761303531211210e-01 1.541962868514069607e-01
1.223694538154995459e-01 3.965300545184343162e-01 2.649643928296777640e-01 6.510421298801465952e-03 9.061662376085038995e-02 1.190090537767365814e-01
3.171737222485817576e-01 2.145106212748222607e-02 1.957973627561435392e-01 9.968496050425573740e-02 2.191175132254657987e-01 1.467753791380710382e-01
3.860306412517122143e-01 7.004635669732850456e-02 4.318219896025514148e-01 1.043105366910117987e-02 4.088930859884727653e-02 6.078065018045938905e-02
1.779143181913079297e-01 9.856663883795073466e-02 2.984823130370558020e-01 1.892491850854687019e-01 2.374290759160727418e-02 2.120446372566094639e-01
3.562915601102828456e-01 3.401568051799898074e-01 2.934130429577798058e-02 1.007218990264368078e-02 1.868079869516926228e-01 7.733015355961320170e-02
3.936572106761426770e-01 1.036599352164061238e-01 1.690114480892906668e-01 2.510562861156933126e-03 6.435189611568463419e-02 2.668089470413189668e-01
5.241832329263805823e-01 6.924351587610444447e-02 1.170901244305424249e-01 1.792822577308864629e-01 3.218847312708324193e-02 7.801239590900277410e-02
1.089328952231525260e-01 1.522793643767057434e-02 9.967581717667298950e-04 3.781047470943696975e-01 2.171189123322299075e-01 2.796187507408104955e-01
2.662866945964610377e-01 3.766387768554914639e-01 1.302325393422514854e-01 1.249660348780235880e-01 3.482101071463310216e-02 6.705494361313919793e-02
2.206684702315011570e-01 1.192950123785065653e-01 2.019515270430037313e-01 3.898956216041735146e-02 2.546423274035558015e-01 1.644531007830155600e-01
4.709010475350960956e-02 3.468630961947690231e-03 1.902346923748713114e-01 5.928271125440420786e-01 5.580219421145656694e-02 1.105772651541728213e-01
1.935167926947289341e-01 1.390834454833047296e-01 1.281788683919469207e-01 9.288549015499263095e-02 2.594701197114183122e-01 1.868652835636083476e-01
2.702855185278302264e-01 1.519302776287720647e-01 3.019147725962736950e-01 7.071886512320428586e-02 2.040640382572782574e-01 1.086527866641576537e-03
3.388849432241102799e-01 2.396757694905462532e-01 8.858476741495482920e-02 1.477563680172384875e-01 1.220715157842794663e-01 6.302663606887091985e-02
1.917754470043443737e-01 1.308930644839556567e-01 1.314648286566006963e-01 1.708566706377278588e-01 3.319021848272791786e-01 4.310780439009233994e-02
1.968964143829072810e-01 3.180917284839217540e-01 1.433585177232824803e-01 1.022228834508700362e-01 2.281866756308145727e-01 1.124378032820388777e-02
9.307999307633067765e-02 1.712474488277887508e-01 1.774731287425222737e-01 1.687233014934157171e-01 1.385680333107035256e-02 3.756193245288721450e-01
2.608844994347158663e-01 8.317164413555620806e-02 1.701628621537639996e-01 2.689503083980993373e-02 8.334981414324782456e-02 3.755361492929062406e-01
3.571357792199091330e-01 4.638470485065210314e-02 7.250062452504234430e-03 2.855004347082223948e-01 1.715252131516037670e-01 1.322038056171084552e-01
1.683311545203084736e-01 1.490714703858296020e-01 2.413420646176697160e-01 2.450465783127984618e-02 4.143169512049216796e-01 2.433701439990548256e-03
3.347534401848441532e-01 2.105581880547345297e-01 1.306279931422348883e-01 1.834771926147414078e-01 1.100511328415107876e-01 3.053205316193427846e-02
7.184148610847403485e-03 3.352315346312127464e-01 1.676909070176175742e-01 2.683598757396284396e-01 7.951492647043012507e-02 1.420186075302638518e-01
1.224848707581322471e-01 2.873407978564064824e-01 2.328574621938094003e-01 4.396563184750361397e-02 1.783757013938322145e-01 1.349755359503160834e-01
